state,huc12,name,area_total_ha,area_cropland_ha,area_perennial_ha,pct_cropland,pct_perennial
AL,031300040402,Hodges Mathis Mill Creek-Sandy Creek,7680.0,2598.9,3365.0,33.8,43.8
AL,031300040502,Foster Creek,4576.4,1514.5,1969.6,33.1,43.0
AL,031300040602,Upper Omusee Creek,6907.1,2384.6,1795.3,34.5,26.0
AL,031300040603,Middle Omusee Creek,10292.0,3843.3,3396.3,37.3,33.0
AL,031300040604,Spivey Mill Creek,4839.3,2353.3,1208.6,48.6,25.0
AL,031300040605,Stevenson Creek,3811.4,1378.1,1398.5,36.2,36.7
AL,031300040606,Cedar Springs Creek-Hurricane Creek,7617.1,2581.7,3087.7,33.9,40.5
AL,031300040701,Jackson Creek-Cedar Creek,7979.4,3082.5,2825.8,38.6,35.4
AL,031300120102,Big Branch-Big Creek,6880.3,2708.0,2474.8,39.4,36.0
AL,031300120103,Double Bridges Creek,4038.4,1076.6,1382.0,26.7,34.2
AL,031300120104,Five Points-Big Creek,5703.8,1665.4,2931.2,29.2,51.4
AL,031300120201,Cooper Creek-Cowarts Creek,13669.2,4605.8,4250.8,33.7,31.1
AL,031300120202,Bruners Gin Creek-Rocky Creek,7401.5,3253.0,2380.9,43.9,32.2
AL,031401060101,Headwaters Perdido River,5610.8,1447.8,3238.8,25.8,57.7
AL,031401060102,Fletcher Creek,3627.6,1013.5,2247.2,27.9,61.9
AL,031401060301,Upper Brushy Creek,4182.0,1404.8,1556.9,33.6,37.2
AL,031401060601,Negro Creek,8139.1,3575.9,2393.3,43.9,29.4
AL,031401060602,Upper Blackwater River,15580.3,4176.0,6267.7,26.8,40.2
AL,031401060603,Lower Blackwater River,13091.9,3646.6,7755.6,27.9,59.2
AL,031402010205,Little Blackwood Creek-Blackwood Creek,7089.0,3853.4,1702.6,54.4,24.0
AL,031402010206,Dunham Creek-Blackwood Creek,4379.0,1600.6,1777.9,36.6,40.6
AL,031402010501,Newton Creek,10320.6,2607.6,2471.8,25.3,24.0
AL,031402010502,Sasser Branch-Bear Creek,6497.6,2077.6,1892.3,32.0,29.1
AL,031402010503,Murphy Mill Branch-Little Choctawachee River,10698.7,3073.6,2414.8,28.7,22.6
AL,031402010504,Panther Creek-Little Choctawatchee River,14186.2,3970.6,4690.9,28.0,33.1
AL,031402011001,Pine Log Branch-Hurricane Creek,7919.9,2634.1,2780.0,33.3,35.1
AL,031402011002,Pates Creek,4896.2,1630.1,1799.5,33.3,36.8
AL,031402011004,Hurricane Creek-Choctawhatchee River,6358.4,2341.5,2514.1,36.8,39.5
AL,031402011101,Little Double Bridges Creek,5525.8,1555.1,2549.7,28.1,46.1
AL,031402011106,Long Branch-Double Bridges Creek,7954.4,2099.0,3763.2,26.4,47.3
AL,031402011201,Wilkerson Creek,9389.0,2678.4,3063.8,28.5,32.6
AL,031402011202,Campbell Mill Creek-Choctawhatchee River,11684.8,3449.2,5158.8,29.5,44.1
AL,031402020609,Bear Branch-Pea River,5826.7,1613.0,2862.4,27.7,49.1
AL,031402020610,Samson Branch-Pea River,9943.4,2529.3,4465.6,25.4,44.9
AL,031402030101,Justice Mill Creek,3709.7,1972.1,1017.7,53.2,27.4
AL,031402030102,Hartford Lake-Spring Creek,4390.6,1650.0,1797.9,37.6,40.9
AL,031402030103,Spring Creek-Choctawhatchee River,5754.3,1724.1,2796.0,30.0,48.6
AL,031403050101,Wet Weather Creek,13117.2,5112.3,6136.3,39.0,46.8
AL,031403050102,Sizemore Creek,8555.9,2163.9,4352.3,25.3,50.9
AL,031403050202,Headwaters Big Escambia Creek,8908.8,2436.7,3601.3,27.4,40.4
AL,031502030104,Duncan Branch-Brush Creek,6104.9,1919.2,1400.3,31.4,22.9
AL,031602050203,Magnolia River,10569.1,4166.3,2518.0,39.4,23.8
AL,060300020305,Banyon Creek-Beaverdam Creek,11530.2,4335.0,2605.5,37.6,22.6
AL,060300020306,Lower Brier Fork Flint River,7702.9,3439.9,1118.5,44.7,14.5
AL,060300020307,Pigrum Branch-Flint River,9172.0,3274.2,2332.0,35.7,25.4
AL,060300020703,Lower Limestone Creek,7063.5,3535.6,1332.7,50.1,18.9
AL,060300020803,Lower Piney Creek,5415.9,2944.3,1444.9,54.4,26.7
AL,060300020905,Oakland Spring Branch-Beaverdam Creek,9972.1,4527.4,1712.1,45.4,17.2
AL,060300021101,Swan Creek,14538.8,3662.1,2986.4,25.2,20.5
AL,060300021103,Round Island Creek,13443.2,5577.6,2777.8,41.5,20.7
AL,060300021104,Fox Creek,8837.8,3198.9,2508.3,36.2,28.4
AL,060300021105,Mud Creek-Tennessee River,10628.0,3311.2,1731.6,31.2,16.3
AL,060300021106,Dry Creek-Mallard Creek,10632.6,4376.4,4122.6,41.2,38.8
AL,060300021107,Coxey Creek-Tennessee River,12370.1,3461.0,1676.9,28.0,13.6
AL,060300021201,Red Branch-Spring Creek,5018.4,3087.2,995.1,61.5,19.8
AL,060300050105,Lower Big Nance Creek,8794.4,5162.7,2057.7,58.7,23.4
AL,060300050304,Lower Town Creek,13999.2,7875.7,2309.9,56.3,16.5
AL,060300050702,Sink Pond-Dry Creek,6985.4,3937.9,932.2,56.4,13.3
AL,060300050802,Abernathy Bottom-Pond Creek,8520.8,3494.3,1284.8,41.0,15.1
AL,060300050806,Sinking Creek,11401.0,6523.6,1355.4,57.2,11.9
AL,060300050808,Coffee Slough-Tennessee River,12575.8,3577.3,3560.5,28.4,28.3
"AL,FL",031300120105,Moulten Slough Creek-Spring Creek,9658.3,4517.5,4054.9,46.8,42.0
"AL,FL",031300120106,Buck Creek-Marshall Creek,7925.1,2535.0,3525.8,32.0,44.5
"AL,FL",031300120203,Gum Slough-Cowarts Creek,14860.4,7192.5,6069.2,48.4,40.8
"AL,FL",031401040404,Upper West Fork Big Coldwater Creek,14816.3,5024.3,8057.8,33.9,54.4
"AL,FL",031403050401,Reedy Creek-Canoe Creek,10245.1,2909.8,5777.7,28.4,56.4
"AL,FL",031403050501,Sandy Hollow-Pine Barren Creek,12415.9,4712.8,5315.1,38.0,42.8
